               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079155,            0.058506,             0.03388,             0.41424,             0.64944,              0.4996,             0.19411,            0.054821,            0.026426,            0.025328,            0.070227,           0.0033081,           0.0033081
                   1,            0.058973,              0.0407,              0.0207,             0.54308,             0.80464,             0.70728,             0.34273,            0.046978,            0.023648,            0.012168,            0.040211,            0.006625,            0.006625
                   2,            0.055771,            0.039791,            0.014073,             0.72628,             0.78317,             0.81694,             0.45332,            0.043573,            0.021933,           0.0060524,            0.010178,           0.0099254,           0.0099254
                   3,            0.049801,            0.037314,           0.0094852,             0.87638,             0.91644,             0.92445,             0.46874,             0.04164,            0.021965,           0.0044717,           0.0099258,           0.0099258,           0.0099258
                   4,            0.044532,            0.035136,           0.0076432,             0.94954,             0.92632,             0.96916,             0.60625,            0.030272,            0.020121,           0.0057206,           0.0099258,           0.0099258,           0.0099258
                   5,            0.041015,            0.034404,           0.0065079,             0.95399,             0.95348,              0.9785,             0.60813,              0.0324,             0.01972,           0.0038955,            0.009901,            0.009901,            0.009901
                   6,            0.039624,            0.033714,           0.0061003,             0.95429,             0.92805,             0.96755,             0.64491,            0.028778,            0.019548,           0.0044958,           0.0098763,           0.0098763,           0.0098763
                   7,            0.038207,            0.033537,           0.0057156,             0.96887,             0.94874,               0.977,             0.59658,            0.030469,            0.019293,           0.0037364,           0.0098515,           0.0098515,           0.0098515
                   8,            0.036251,            0.031766,           0.0054984,             0.97083,             0.96269,              0.9788,             0.62226,            0.029034,            0.019249,           0.0034424,           0.0098268,           0.0098268,           0.0098268
                   9,            0.035481,            0.031942,           0.0051263,             0.97612,             0.96733,             0.98604,             0.61083,            0.029216,            0.019005,           0.0032717,            0.009802,            0.009802,            0.009802
                  10,            0.034345,            0.031521,           0.0047392,             0.96474,             0.96972,              0.9833,             0.62455,              0.0286,            0.018737,           0.0027189,           0.0097773,           0.0097773,           0.0097773
                  11,            0.034063,             0.03126,           0.0045815,             0.97731,             0.95732,             0.98323,             0.59782,            0.030751,            0.018541,           0.0030706,           0.0097525,           0.0097525,           0.0097525
                  12,            0.033562,            0.030807,           0.0048073,              0.9712,              0.9717,             0.98049,             0.64485,            0.026363,            0.018319,           0.0034619,           0.0097278,           0.0097278,           0.0097278
                  13,            0.032937,            0.031031,           0.0043071,             0.96992,             0.95777,             0.97951,             0.66012,            0.024045,            0.018485,           0.0033928,            0.009703,            0.009703,            0.009703
                  14,            0.033028,            0.030766,           0.0043579,              0.9729,             0.96529,             0.98132,             0.67246,            0.024197,             0.01763,           0.0031365,           0.0096783,           0.0096783,           0.0096783
                  15,            0.031926,            0.029838,           0.0041518,             0.97301,             0.96502,             0.98318,             0.67673,            0.024197,            0.017766,            0.002747,           0.0096535,           0.0096535,           0.0096535
                  16,            0.031942,             0.03008,           0.0041844,             0.97717,             0.96452,             0.98415,              0.6725,            0.024328,            0.017763,           0.0025945,           0.0096288,           0.0096288,           0.0096288
                  17,            0.031517,            0.030314,           0.0041056,             0.98074,             0.97376,             0.98349,             0.64722,            0.026095,            0.018302,           0.0025877,            0.009604,            0.009604,            0.009604
                  18,            0.031379,            0.029957,           0.0040173,             0.96482,             0.96277,              0.9826,              0.6574,            0.025527,            0.017673,           0.0032662,           0.0095793,           0.0095793,           0.0095793
                  19,            0.030907,            0.029941,           0.0039828,             0.97725,             0.96774,              0.9847,             0.63151,            0.027991,            0.018325,           0.0025626,           0.0095545,           0.0095545,           0.0095545
                  20,            0.031183,            0.029686,            0.003883,             0.97908,             0.97708,             0.98569,             0.65765,             0.02547,            0.017711,           0.0024934,           0.0095298,           0.0095298,           0.0095298
                  21,            0.030867,            0.029982,           0.0041368,             0.98222,             0.97043,             0.98395,             0.64643,            0.026886,            0.018097,           0.0023975,            0.009505,            0.009505,            0.009505
                  22,            0.030425,            0.029179,           0.0038333,             0.97215,             0.97316,             0.98475,             0.68643,            0.023327,            0.017498,           0.0024508,           0.0094803,           0.0094803,           0.0094803
                  23,            0.030494,            0.029307,           0.0039597,             0.96291,             0.96751,             0.97873,             0.67491,            0.023735,            0.017822,           0.0032225,           0.0094555,           0.0094555,           0.0094555
                  24,            0.030102,            0.029171,           0.0037432,             0.96868,             0.97577,             0.98252,             0.67972,            0.023824,            0.017755,           0.0024339,           0.0094307,           0.0094307,           0.0094307
                  25,            0.029392,            0.028735,           0.0038364,             0.98198,             0.97112,             0.98671,             0.68069,            0.024248,            0.017412,           0.0023071,            0.009406,            0.009406,            0.009406
                  26,            0.029582,            0.028442,           0.0038908,              0.9759,             0.96617,             0.98278,             0.69035,             0.02361,            0.017417,           0.0023989,           0.0093813,           0.0093813,           0.0093813
                  27,            0.029496,            0.029151,           0.0034687,             0.97879,             0.98075,             0.98804,             0.68898,            0.022989,            0.017088,           0.0022096,           0.0093565,           0.0093565,           0.0093565
                  28,             0.02931,            0.028555,           0.0035725,             0.98232,             0.97264,             0.98288,             0.69031,            0.022744,            0.017263,           0.0025396,           0.0093317,           0.0093317,           0.0093317
                  29,            0.028893,             0.02875,           0.0038562,             0.97702,             0.95782,             0.98187,             0.69554,            0.022716,            0.017221,           0.0028646,            0.009307,            0.009307,            0.009307
                  30,            0.029889,            0.028804,           0.0036469,             0.98527,              0.9769,             0.98722,             0.69289,            0.023434,            0.017124,           0.0023999,           0.0092823,           0.0092823,           0.0092823
                  31,            0.028271,            0.027973,           0.0034195,             0.97749,             0.97844,             0.98421,             0.70799,            0.022236,            0.017034,           0.0025476,           0.0092575,           0.0092575,           0.0092575
                  32,            0.028447,            0.028081,             0.00346,             0.97592,             0.97523,             0.98591,               0.701,            0.022621,            0.017014,           0.0024452,           0.0092327,           0.0092327,           0.0092327
                  33,            0.028632,            0.028101,           0.0032974,             0.97032,             0.96892,             0.98527,              0.6856,            0.023802,            0.017356,           0.0031943,            0.009208,            0.009208,            0.009208
                  34,            0.028525,            0.028362,           0.0034054,             0.97829,             0.97314,              0.9842,             0.70382,            0.022649,            0.017229,           0.0021738,           0.0091833,           0.0091833,           0.0091833
                  35,            0.028359,            0.028214,           0.0034331,             0.97545,             0.97339,             0.98295,             0.69107,            0.023485,            0.017378,           0.0025203,           0.0091585,           0.0091585,           0.0091585
                  36,            0.028041,            0.027542,           0.0033577,               0.974,             0.97213,             0.98342,             0.70615,            0.022149,            0.017108,           0.0023907,           0.0091337,           0.0091337,           0.0091337
                  37,            0.028054,            0.027996,           0.0034063,              0.9715,             0.97407,             0.98152,             0.70365,            0.022842,            0.017435,           0.0025475,            0.009109,            0.009109,            0.009109
                  38,            0.028264,             0.02843,           0.0033593,             0.97816,             0.97086,             0.98523,             0.70724,            0.022268,            0.017207,           0.0023817,           0.0090843,           0.0090843,           0.0090843
                  39,            0.027895,            0.027433,           0.0031476,             0.97825,             0.96937,              0.9853,             0.70213,            0.022307,            0.017063,           0.0022908,           0.0090595,           0.0090595,           0.0090595
                  40,            0.027757,            0.027912,           0.0031923,             0.97506,             0.97891,             0.98693,             0.68992,            0.022981,            0.017001,           0.0022814,           0.0090347,           0.0090347,           0.0090347
                  41,            0.028018,            0.027648,           0.0032841,             0.98065,             0.96922,             0.98599,             0.70225,            0.022317,            0.016845,            0.002487,             0.00901,             0.00901,             0.00901
                  42,            0.027856,            0.028161,           0.0032261,             0.98239,             0.97443,             0.98384,             0.70334,            0.022699,            0.016959,           0.0023031,           0.0089853,           0.0089853,           0.0089853
                  43,            0.027886,            0.028464,           0.0031671,             0.96962,             0.96578,             0.98448,             0.70211,            0.022727,            0.016931,           0.0027779,           0.0089605,           0.0089605,           0.0089605
                  44,            0.027301,            0.027528,           0.0032528,             0.97949,             0.96937,             0.98247,             0.70117,             0.02183,            0.016904,           0.0024432,           0.0089358,           0.0089358,           0.0089358
                  45,            0.027435,            0.027132,           0.0031166,             0.97399,             0.98243,             0.98441,             0.70236,            0.022054,            0.017039,           0.0021464,            0.008911,            0.008911,            0.008911
                  46,            0.027023,            0.027442,           0.0030614,             0.97567,             0.97965,             0.98359,              0.7121,            0.021707,            0.016642,           0.0021779,           0.0088863,           0.0088863,           0.0088863
                  47,             0.02713,            0.026818,           0.0030728,             0.96942,             0.97711,             0.98444,             0.71037,            0.021543,            0.016779,           0.0022134,           0.0088615,           0.0088615,           0.0088615
                  48,            0.027102,            0.027576,           0.0030977,             0.97116,             0.97531,             0.98169,              0.7159,            0.021374,            0.017004,           0.0022649,           0.0088368,           0.0088368,           0.0088368
                  49,            0.027195,            0.027187,           0.0031774,             0.97374,              0.9808,             0.98518,              0.7151,            0.021622,            0.016814,           0.0022899,            0.008812,            0.008812,            0.008812
                  50,            0.027077,            0.027275,           0.0030474,             0.97883,             0.97347,             0.98583,             0.71174,            0.021243,            0.016522,            0.002204,           0.0087872,           0.0087872,           0.0087872
                  51,            0.027094,            0.027392,           0.0029175,             0.97183,             0.96848,             0.98383,             0.71172,            0.021728,            0.016603,           0.0022635,           0.0087625,           0.0087625,           0.0087625
                  52,            0.026802,            0.026717,           0.0029431,             0.96849,             0.97877,             0.98105,             0.71055,            0.021577,            0.016959,           0.0023426,           0.0087378,           0.0087378,           0.0087378
                  53,            0.026822,            0.027192,           0.0029971,             0.97489,             0.98412,             0.98511,             0.71553,            0.021446,            0.016719,           0.0021625,            0.008713,            0.008713,            0.008713
                  54,            0.026479,            0.027129,           0.0029006,             0.97784,             0.96653,             0.98278,             0.70545,            0.022178,            0.016918,           0.0023515,           0.0086882,           0.0086882,           0.0086882
                  55,            0.026861,            0.027715,           0.0030138,             0.96765,             0.96988,             0.98044,             0.71334,            0.021421,            0.016643,           0.0024694,           0.0086635,           0.0086635,           0.0086635
                  56,            0.026714,             0.02747,           0.0031589,             0.97946,             0.98044,             0.98477,             0.72443,             0.02135,            0.016791,           0.0021164,           0.0086388,           0.0086388,           0.0086388
                  57,            0.026657,            0.027077,           0.0029474,             0.97737,             0.97515,             0.98313,             0.71934,            0.021447,            0.016748,           0.0022743,            0.008614,            0.008614,            0.008614
                  58,            0.026545,            0.026821,           0.0029946,             0.97424,             0.97881,             0.98396,             0.71761,            0.021255,            0.016645,           0.0022096,           0.0085893,           0.0085893,           0.0085893
                  59,            0.026557,            0.026953,           0.0031307,             0.97335,             0.97606,             0.98225,             0.70878,            0.021647,            0.017022,           0.0024619,           0.0085645,           0.0085645,           0.0085645
                  60,            0.026495,            0.027259,             0.00319,              0.9792,             0.98088,             0.98583,              0.7175,            0.021623,            0.016918,           0.0021138,           0.0085398,           0.0085398,           0.0085398
                  61,            0.026332,            0.027049,           0.0027936,             0.97568,             0.97518,               0.984,             0.71188,            0.021197,            0.016628,           0.0022427,            0.008515,            0.008515,            0.008515
                  62,            0.026197,            0.027157,            0.002967,             0.97865,             0.98022,             0.98444,             0.71808,            0.021352,            0.016571,           0.0021761,           0.0084903,           0.0084903,           0.0084903
                  63,            0.026094,             0.02678,           0.0027992,             0.97973,             0.98064,             0.98319,             0.72039,            0.021501,            0.016474,           0.0021692,           0.0084655,           0.0084655,           0.0084655
                  64,            0.025931,            0.026568,           0.0029743,             0.98352,             0.97144,             0.98328,             0.71316,             0.02119,            0.016861,           0.0021772,           0.0084408,           0.0084408,           0.0084408
                  65,            0.026501,            0.026792,           0.0029661,             0.97998,             0.98357,             0.98504,             0.72377,            0.021007,            0.016515,           0.0022202,            0.008416,            0.008416,            0.008416
                  66,            0.026283,            0.027259,           0.0028894,             0.97956,             0.97538,              0.9839,             0.72402,            0.020771,            0.016368,           0.0024055,           0.0083913,           0.0083913,           0.0083913
                  67,            0.026072,            0.026748,           0.0029984,             0.97351,             0.97386,             0.98486,             0.72931,            0.020696,            0.016622,           0.0023099,           0.0083665,           0.0083665,           0.0083665
                  68,            0.025627,            0.026343,           0.0028326,             0.97899,              0.9769,             0.98481,             0.71824,            0.021021,            0.016444,           0.0021206,           0.0083418,           0.0083418,           0.0083418
                  69,            0.025936,            0.026457,           0.0028208,             0.97932,              0.9729,             0.98278,             0.72554,            0.020974,            0.016555,           0.0022305,            0.008317,            0.008317,            0.008317
                  70,            0.025632,            0.026936,           0.0028837,             0.98108,             0.97884,             0.98542,             0.71829,            0.021279,            0.016705,           0.0022387,           0.0082922,           0.0082922,           0.0082922
                  71,             0.02593,            0.026076,           0.0028129,             0.97786,             0.98121,             0.98396,             0.71274,            0.021249,            0.016626,           0.0021558,           0.0082675,           0.0082675,           0.0082675
                  72,            0.025632,            0.026429,           0.0027046,             0.98149,             0.97812,             0.98561,             0.72443,            0.020772,            0.016549,           0.0021703,           0.0082428,           0.0082428,           0.0082428
                  73,             0.02605,            0.026945,           0.0029562,              0.9739,             0.97789,              0.9811,             0.72256,            0.020509,            0.016416,           0.0024624,            0.008218,            0.008218,            0.008218
                  74,            0.025568,            0.026689,           0.0030141,             0.97578,             0.97723,             0.98483,             0.72582,            0.020664,            0.016576,           0.0022765,           0.0081932,           0.0081932,           0.0081932
                  75,            0.025904,            0.026737,           0.0027421,             0.98339,             0.97905,             0.98347,             0.73037,            0.020746,            0.016339,           0.0020922,           0.0081685,           0.0081685,           0.0081685
                  76,            0.025852,            0.026083,           0.0028282,             0.98153,             0.97974,             0.98458,             0.72927,            0.020496,            0.016429,           0.0021939,           0.0081437,           0.0081437,           0.0081437
                  77,            0.025591,            0.025967,           0.0029103,             0.97871,             0.97976,             0.98366,             0.72189,            0.020809,            0.016636,           0.0021624,            0.008119,            0.008119,            0.008119
                  78,            0.025685,            0.026116,           0.0028578,             0.98128,             0.97634,             0.98486,             0.71298,             0.02091,            0.016665,           0.0020564,           0.0080942,           0.0080942,           0.0080942
                  79,            0.025522,            0.025834,           0.0027871,             0.97878,             0.97559,             0.98298,              0.7142,            0.021295,            0.016795,           0.0022838,           0.0080695,           0.0080695,           0.0080695
                  80,            0.025019,            0.025964,           0.0026801,             0.97225,              0.9721,             0.98264,             0.72766,            0.020699,            0.016595,           0.0022332,           0.0080447,           0.0080447,           0.0080447
                  81,            0.025777,            0.026632,           0.0028028,             0.97622,             0.98309,             0.98566,             0.72307,            0.020968,            0.016605,            0.002134,             0.00802,             0.00802,             0.00802
                  82,            0.025209,            0.026082,           0.0026297,              0.9752,             0.97653,             0.98127,             0.72556,            0.020356,            0.016405,           0.0023258,           0.0079953,           0.0079953,           0.0079953
                  83,            0.025474,            0.026463,           0.0027459,              0.9772,             0.97734,             0.98332,             0.72629,            0.020614,            0.016444,           0.0022445,           0.0079705,           0.0079705,           0.0079705
                  84,             0.02537,              0.0262,           0.0027173,             0.97436,             0.97903,             0.98449,             0.72466,            0.020543,            0.016479,            0.002171,           0.0079457,           0.0079457,           0.0079457
                  85,            0.025188,             0.02549,           0.0027404,             0.97768,              0.9755,              0.9852,             0.72758,            0.020598,            0.016482,            0.002235,            0.007921,            0.007921,            0.007921
                  86,            0.025107,            0.026089,           0.0026412,             0.97541,             0.98402,             0.98461,             0.72833,            0.020531,            0.016491,           0.0022239,           0.0078963,           0.0078963,           0.0078963
                  87,             0.02524,            0.025973,           0.0029467,              0.9718,             0.98226,             0.98504,             0.72803,            0.020734,             0.01669,           0.0021353,           0.0078715,           0.0078715,           0.0078715
                  88,            0.024973,            0.025756,           0.0026931,             0.97011,             0.98166,              0.9843,             0.73097,            0.020392,            0.016467,           0.0021135,           0.0078467,           0.0078467,           0.0078467
                  89,            0.024912,            0.026051,           0.0025571,             0.98513,             0.97806,              0.9843,             0.72414,            0.020569,            0.016495,           0.0020926,            0.007822,            0.007822,            0.007822
                  90,             0.02489,            0.025466,             0.00259,             0.97613,             0.98225,             0.98585,             0.72048,             0.02061,            0.016674,           0.0021558,           0.0077973,           0.0077973,           0.0077973
                  91,            0.025003,            0.025639,           0.0025294,             0.97846,             0.97935,             0.98631,             0.72738,            0.020733,             0.01641,           0.0020877,           0.0077725,           0.0077725,           0.0077725
                  92,            0.025132,            0.025748,           0.0025774,             0.97658,             0.97427,             0.98323,             0.72036,            0.020698,             0.01648,           0.0023126,           0.0077478,           0.0077478,           0.0077478
                  93,            0.024875,            0.025661,           0.0026677,             0.98075,             0.98142,             0.98509,             0.72824,            0.020625,            0.016323,           0.0020073,            0.007723,            0.007723,            0.007723
                  94,            0.024739,            0.025687,           0.0027182,             0.97461,             0.97493,             0.98449,               0.727,            0.020784,            0.016553,           0.0022188,           0.0076983,           0.0076983,           0.0076983
                  95,            0.024954,             0.02601,           0.0026201,             0.97862,             0.97381,             0.98481,             0.72535,            0.020542,            0.016621,           0.0020973,           0.0076735,           0.0076735,           0.0076735
                  96,            0.024941,            0.025828,           0.0025799,             0.97516,             0.97936,             0.98594,             0.72826,             0.02021,            0.016435,           0.0022141,           0.0076488,           0.0076488,           0.0076488
                  97,             0.02469,            0.025589,           0.0025494,             0.97767,             0.97598,             0.98319,             0.72709,            0.020518,            0.016312,           0.0023525,            0.007624,            0.007624,            0.007624
                  98,            0.024807,            0.025951,           0.0026243,             0.98137,             0.97872,             0.98459,             0.72974,            0.020345,            0.016388,           0.0020514,           0.0075993,           0.0075993,           0.0075993
                  99,             0.02439,            0.025344,           0.0026888,             0.98117,             0.97978,             0.98516,             0.73036,            0.020168,            0.016249,           0.0021115,           0.0075745,           0.0075745,           0.0075745
                 100,            0.024599,            0.025623,           0.0026164,             0.97909,             0.98221,             0.98426,             0.72972,            0.020277,            0.016316,           0.0020997,           0.0075498,           0.0075498,           0.0075498
                 101,            0.024644,            0.025658,           0.0026374,             0.97881,             0.98153,             0.98536,             0.72892,            0.020563,             0.01639,           0.0020784,            0.007525,            0.007525,            0.007525
                 102,            0.024796,            0.025689,           0.0026677,             0.97463,             0.97824,             0.98562,             0.73036,             0.02048,            0.016266,           0.0022123,           0.0075003,           0.0075003,           0.0075003
                 103,            0.024045,            0.025598,            0.002515,             0.97619,             0.97923,             0.98518,             0.72899,            0.020301,            0.016147,            0.002195,           0.0074755,           0.0074755,           0.0074755
                 104,             0.02478,             0.02615,           0.0024972,             0.97662,             0.98255,             0.98353,             0.73009,            0.020389,            0.016268,           0.0020902,           0.0074507,           0.0074507,           0.0074507
                 105,            0.024391,            0.025255,           0.0025533,             0.97461,              0.9804,             0.98472,             0.73215,            0.020141,            0.016353,           0.0022957,            0.007426,            0.007426,            0.007426
                 106,            0.024501,            0.025649,           0.0027142,             0.97919,             0.98063,             0.98417,             0.72922,            0.020249,            0.016486,           0.0021618,           0.0074013,           0.0074013,           0.0074013
