               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09253,             0.11764,            0.036537,             0.17616,             0.45195,             0.21183,            0.082513,            0.063023,            0.060928,            0.033449,            0.070682,           0.0032576,           0.0032576
                   1,            0.067711,            0.092467,            0.029406,              0.4858,             0.73547,             0.55048,             0.25081,            0.052777,            0.057178,            0.023076,            0.040666,           0.0065746,           0.0065746
                   2,            0.064821,            0.090555,            0.022759,             0.45155,             0.73789,             0.53373,             0.20979,            0.062445,            0.049667,            0.017979,            0.010633,           0.0098751,           0.0098751
                   3,            0.060336,            0.088378,             0.01876,             0.58379,             0.70252,             0.68386,              0.3202,            0.050395,            0.049976,            0.011227,           0.0099258,           0.0099258,           0.0099258
                   4,             0.05391,            0.082492,            0.012516,             0.65844,             0.82973,             0.83373,             0.50117,            0.042162,            0.047588,           0.0094872,           0.0099258,           0.0099258,           0.0099258
                   5,            0.050281,             0.07947,           0.0095202,              0.6053,             0.91658,             0.83164,             0.46498,             0.04494,            0.047546,           0.0062851,            0.009901,            0.009901,            0.009901
                   6,            0.047579,            0.079262,           0.0077691,             0.84601,             0.91676,              0.9284,             0.55948,            0.036833,            0.044357,           0.0049275,           0.0098763,           0.0098763,           0.0098763
                   7,            0.045333,            0.073611,            0.007179,             0.92706,              0.9409,             0.96326,             0.60864,            0.033325,            0.043983,           0.0050071,           0.0098515,           0.0098515,           0.0098515
                   8,            0.044153,            0.075868,            0.006559,             0.86159,              0.9173,             0.93298,             0.46065,            0.043093,            0.044945,           0.0040601,           0.0098268,           0.0098268,           0.0098268
                   9,             0.04243,            0.077489,           0.0062678,             0.91094,             0.93895,             0.94509,             0.57855,            0.036559,            0.043396,            0.003867,            0.009802,            0.009802,            0.009802
                  10,            0.041521,            0.077454,           0.0056922,             0.86871,             0.92691,             0.92659,              0.5009,            0.039891,            0.044243,           0.0037374,           0.0097773,           0.0097773,           0.0097773
                  11,            0.041545,            0.073685,           0.0055752,              0.9464,              0.9576,             0.95769,             0.56044,            0.037246,            0.043438,           0.0037539,           0.0097525,           0.0097525,           0.0097525
                  12,            0.040225,            0.074777,           0.0053172,             0.92292,             0.95574,             0.96302,             0.55497,            0.034556,            0.043221,           0.0030028,           0.0097278,           0.0097278,           0.0097278
                  13,            0.039586,             0.07496,           0.0052061,             0.95605,             0.94488,             0.96355,             0.50969,            0.037273,            0.043919,           0.0031912,            0.009703,            0.009703,            0.009703
                  14,            0.039456,             0.07542,           0.0049678,             0.94836,             0.95802,             0.96044,             0.60175,            0.030225,            0.042168,           0.0039771,           0.0096783,           0.0096783,           0.0096783
                  15,            0.038457,            0.075919,           0.0048376,             0.93236,             0.94363,             0.96383,             0.54615,              0.0352,            0.044033,           0.0030561,           0.0096535,           0.0096535,           0.0096535
                  16,            0.037092,            0.072901,           0.0047544,             0.94895,             0.92694,             0.96963,             0.65147,            0.029067,            0.041599,           0.0036485,           0.0096288,           0.0096288,           0.0096288
